20.1900 	EXP 	fixation: autoDraw = False
20.1900 	EXP 	grating: autoDraw = False
20.1900 	EXP 	grating: ori = -2.0
20.1900 	EXP 	fixation: autoDraw = True
21.1905 	INFO 	Keyboard events cleared
21.1900 	EXP 	fixation: autoDraw = False
21.1900 	EXP 	grating: autoDraw = True
21.4899 	EXP 	grating: autoDraw = False
21.7600 	EXP 	New trial (rep=12, index=0): None
21.7612 	DATA 	Keypress: up
21.7732 	EXP 	fixation: autoDraw = False
21.7732 	EXP 	grating: autoDraw = False
21.7732 	EXP 	grating: ori = -5.0
21.7732 	EXP 	fixation: autoDraw = True
22.7736 	INFO 	Keyboard events cleared
22.7732 	EXP 	fixation: autoDraw = False
22.7732 	EXP 	grating: autoDraw = True
23.0729 	EXP 	grating: autoDraw = False
23.3099 	EXP 	New trial (rep=13, index=0): None
23.3110 	DATA 	Keypress: down
23.3230 	EXP 	fixation: autoDraw = False
23.3230 	EXP 	grating: autoDraw = False
23.3230 	EXP 	grating: ori = -4.0
23.3230 	EXP 	fixation: autoDraw = True
24.3232 	INFO 	Keyboard events cleared
24.3228 	EXP 	fixation: autoDraw = False
24.3228 	EXP 	grating: autoDraw = True
24.6228 	EXP 	grating: autoDraw = False
24.7431 	EXP 	New trial (rep=14, index=0): None
24.7442 	DATA 	Keypress: down
24.7561 	EXP 	fixation: autoDraw = False
24.7561 	EXP 	grating: autoDraw = False
24.7561 	EXP 	grating: ori = -2.0
24.7561 	EXP 	fixation: autoDraw = True
25.7565 	INFO 	Keyboard events cleared
25.7561 	EXP 	fixation: autoDraw = False
25.7561 	EXP 	grating: autoDraw = True
26.0559 	EXP 	grating: autoDraw = False
26.4428 	EXP 	New trial (rep=15, index=0): None
26.4440 	DATA 	Keypress: up
26.4559 	EXP 	fixation: autoDraw = False
26.4559 	EXP 	grating: autoDraw = False
26.4559 	EXP 	grating: ori = -5.0
26.4559 	EXP 	fixation: autoDraw = True
27.4562 	INFO 	Keyboard events cleared
27.4558 	EXP 	fixation: autoDraw = False
27.4558 	EXP 	grating: autoDraw = True
27.7558 	EXP 	grating: autoDraw = False
27.9925 	EXP 	New trial (rep=16, index=0): None
27.9937 	DATA 	Keypress: down
28.0057 	EXP 	fixation: autoDraw = False
28.0057 	EXP 	grating: autoDraw = False
28.0057 	EXP 	grating: ori = 0.0
28.0057 	EXP 	fixation: autoDraw = True
29.0059 	INFO 	Keyboard events cleared
29.0055 	EXP 	fixation: autoDraw = False
29.0055 	EXP 	grating: autoDraw = True
29.3055 	EXP 	grating: autoDraw = False
29.6594 	EXP 	New trial (rep=17, index=0): None
29.6605 	DATA 	Keypress: up
29.6722 	EXP 	fixation: autoDraw = False
29.6722 	EXP 	grating: autoDraw = False
29.6722 	EXP 	grating: ori = 0.0
29.6722 	EXP 	fixation: autoDraw = True
30.6724 	INFO 	Keyboard events cleared
30.6720 	EXP 	fixation: autoDraw = False
30.6720 	EXP 	grating: autoDraw = True
30.9719 	EXP 	grating: autoDraw = False
31.4088 	EXP 	New trial (rep=18, index=0): None
31.4100 	DATA 	Keypress: up
31.4219 	EXP 	fixation: autoDraw = False
31.4219 	EXP 	grating: autoDraw = False
31.4219 	EXP 	grating: ori = 3.0
31.4219 	EXP 	fixation: autoDraw = True
32.4222 	INFO 	Keyboard events cleared
32.4218 	EXP 	fixation: autoDraw = False
32.4218 	EXP 	grating: autoDraw = True
32.7218 	EXP 	grating: autoDraw = False
32.8593 	EXP 	New trial (rep=19, index=0): None
32.8606 	DATA 	Keypress: down
32.8717 	EXP 	fixation: autoDraw = False
32.8717 	EXP 	grating: autoDraw = False
32.8717 	EXP 	grating: ori = 2.0
32.8717 	EXP 	fixation: autoDraw = True
33.8720 	INFO 	Keyboard events cleared
33.8716 	EXP 	fixation: autoDraw = False
33.8716 	EXP 	grating: autoDraw = True
34.1715 	EXP 	grating: autoDraw = False
